Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,ornamentation,no,NA
Bocksteinschmiede,Bocksteinschmiede,48.55833,10.15611,Germany,n/a,n/a,Cave,NoDate,no,wooden,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,art,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,engravedEggshell,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,engravedOchre,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,engravedStone,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,exotic,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,hafting,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,ochre,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,wooden,no,NA
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,bone,yes,d'Errico et al 2012
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,engraved,yes,d'Errico et al 2012
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,engravedBone,yes,d'Errico et al 2012
Border Cave,Border Cave,-27.06666667,32,South Africa,63,57,Cave,45-99,AMH,ornamentation,yes,d'Errico and Blackwell 2016
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,art,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,bone,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,engraved,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,engravedBone,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,engravedEggshell,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,engravedOchre,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,engravedStone,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,exotic,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,hafting,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,ochre,no,NA
Bushman Rock Shelter,Bushman Rock Shelter,-24.58333333,30.63333333,South Africa,60,53,Cave,45-99,no,wooden,no,NA
